Calculation1,City,County/State/ Territory,Measure Names,School,Uad Uc Ethn 6 Cat,Measure Values
ASPIRE LIONEL WILSON COLG PREP51761,Oakland,Alameda,enr,ASPIRE LIONEL WILSON COLG PREP,Hispanic/ Latino,3
ASPIRE LIONEL WILSON COLG PREP51761,Oakland,Alameda,adm,ASPIRE LIONEL WILSON COLG PREP,Hispanic/ Latino,10
ASPIRE LIONEL WILSON COLG PREP51761,Oakland,Alameda,app,ASPIRE LIONEL WILSON COLG PREP,Hispanic/ Latino,16
ASPIRE LIONEL WILSON COLG PREP51761,Oakland,Alameda,enr,ASPIRE LIONEL WILSON COLG PREP,All,3
ASPIRE LIONEL WILSON COLG PREP51761,Oakland,Alameda,adm,ASPIRE LIONEL WILSON COLG PREP,All,10
ASPIRE LIONEL WILSON COLG PREP51761,Oakland,Alameda,app,ASPIRE LIONEL WILSON COLG PREP,All,19
BERKELEY HIGH SCHOOL50290,Berkeley,Alameda,enr,BERKELEY HIGH SCHOOL,White,
BERKELEY HIGH SCHOOL50290,Berkeley,Alameda,adm,BERKELEY HIGH SCHOOL,White,10
BERKELEY HIGH SCHOOL50290,Berkeley,Alameda,app,BERKELEY HIGH SCHOOL,White,10
BERKELEY HIGH SCHOOL50290,Berkeley,Alameda,enr,BERKELEY HIGH SCHOOL,Asian,
BERKELEY HIGH SCHOOL50290,Berkeley,Alameda,adm,BERKELEY HIGH SCHOOL,Asian,12
BERKELEY HIGH SCHOOL50290,Berkeley,Alameda,app,BERKELEY HIGH SCHOOL,Asian,13
BERKELEY HIGH SCHOOL50290,Berkeley,Alameda,enr,BERKELEY HIGH SCHOOL,Hispanic/ Latino,
BERKELEY HIGH SCHOOL50290,Berkeley,Alameda,adm,BERKELEY HIGH SCHOOL,Hispanic/ Latino,6
BERKELEY HIGH SCHOOL50290,Berkeley,Alameda,app,BERKELEY HIGH SCHOOL,Hispanic/ Latino,9
BERKELEY HIGH SCHOOL50290,Berkeley,Alameda,enr,BERKELEY HIGH SCHOOL,African American,
BERKELEY HIGH SCHOOL50290,Berkeley,Alameda,adm,BERKELEY HIGH SCHOOL,African American,8
BERKELEY HIGH SCHOOL50290,Berkeley,Alameda,app,BERKELEY HIGH SCHOOL,African American,9
BERKELEY HIGH SCHOOL50290,Berkeley,Alameda,enr,BERKELEY HIGH SCHOOL,All,5
BERKELEY HIGH SCHOOL50290,Berkeley,Alameda,adm,BERKELEY HIGH SCHOOL,All,37
BERKELEY HIGH SCHOOL50290,Berkeley,Alameda,app,BERKELEY HIGH SCHOOL,All,43
CASTLEMONT HIGH SCHOOL54611,Oakland,Alameda,enr,CASTLEMONT HIGH SCHOOL,All,
CASTLEMONT HIGH SCHOOL54611,Oakland,Alameda,adm,CASTLEMONT HIGH SCHOOL,All,3
CASTLEMONT HIGH SCHOOL54611,Oakland,Alameda,app,CASTLEMONT HIGH SCHOOL,All,6
CASTRO VALLEY HIGH SCHOOL50500,Castro Valley,Alameda,enr,CASTRO VALLEY HIGH SCHOOL,White,
CASTRO VALLEY HIGH SCHOOL50500,Castro Valley,Alameda,adm,CASTRO VALLEY HIGH SCHOOL,White,6
CASTRO VALLEY HIGH SCHOOL50500,Castro Valley,Alameda,app,CASTRO VALLEY HIGH SCHOOL,White,6
CASTRO VALLEY HIGH SCHOOL50500,Castro Valley,Alameda,enr,CASTRO VALLEY HIGH SCHOOL,Asian,
CASTRO VALLEY HIGH SCHOOL50500,Castro Valley,Alameda,adm,CASTRO VALLEY HIGH SCHOOL,Asian,20
CASTRO VALLEY HIGH SCHOOL50500,Castro Valley,Alameda,app,CASTRO VALLEY HIGH SCHOOL,Asian,28
CASTRO VALLEY HIGH SCHOOL50500,Castro Valley,Alameda,enr,CASTRO VALLEY HIGH SCHOOL,All,
CASTRO VALLEY HIGH SCHOOL50500,Castro Valley,Alameda,adm,CASTRO VALLEY HIGH SCHOOL,All,33
CASTRO VALLEY HIGH SCHOOL50500,Castro Valley,Alameda,app,CASTRO VALLEY HIGH SCHOOL,All,41
COLISEUM COLLEGE PREP ACADEMY54412,Oakland,Alameda,enr,COLISEUM COLLEGE PREP ACADEMY,Hispanic/ Latino,
COLISEUM COLLEGE PREP ACADEMY54412,Oakland,Alameda,adm,COLISEUM COLLEGE PREP ACADEMY,Hispanic/ Latino,13
COLISEUM COLLEGE PREP ACADEMY54412,Oakland,Alameda,app,COLISEUM COLLEGE PREP ACADEMY,Hispanic/ Latino,23
COLISEUM COLLEGE PREP ACADEMY54412,Oakland,Alameda,enr,COLISEUM COLLEGE PREP ACADEMY,All,
COLISEUM COLLEGE PREP ACADEMY54412,Oakland,Alameda,adm,COLISEUM COLLEGE PREP ACADEMY,All,14
COLISEUM COLLEGE PREP ACADEMY54412,Oakland,Alameda,app,COLISEUM COLLEGE PREP ACADEMY,All,26
DUBLIN HIGH SCHOOL50784,Dublin,Alameda,enr,DUBLIN HIGH SCHOOL,White,
DUBLIN HIGH SCHOOL50784,Dublin,Alameda,adm,DUBLIN HIGH SCHOOL,White,3
DUBLIN HIGH SCHOOL50784,Dublin,Alameda,app,DUBLIN HIGH SCHOOL,White,5
DUBLIN HIGH SCHOOL50784,Dublin,Alameda,enr,DUBLIN HIGH SCHOOL,Asian,3
DUBLIN HIGH SCHOOL50784,Dublin,Alameda,adm,DUBLIN HIGH SCHOOL,Asian,15
DUBLIN HIGH SCHOOL50784,Dublin,Alameda,app,DUBLIN HIGH SCHOOL,Asian,19
DUBLIN HIGH SCHOOL50784,Dublin,Alameda,enr,DUBLIN HIGH SCHOOL,All,3
DUBLIN HIGH SCHOOL50784,Dublin,Alameda,adm,DUBLIN HIGH SCHOOL,All,21
DUBLIN HIGH SCHOOL50784,Dublin,Alameda,app,DUBLIN HIGH SCHOOL,All,29
ENCINAL HIGH SCHOOL50015,Alameda,Alameda,enr,ENCINAL HIGH SCHOOL,Asian,
ENCINAL HIGH SCHOOL50015,Alameda,Alameda,adm,ENCINAL HIGH SCHOOL,Asian,6
ENCINAL HIGH SCHOOL50015,Alameda,Alameda,app,ENCINAL HIGH SCHOOL,Asian,7
ENCINAL HIGH SCHOOL50015,Alameda,Alameda,enr,ENCINAL HIGH SCHOOL,All,
