Calculation1,City,County/State/ Territory,Measure Names,School,Uad Uc Ethn 6 Cat,Measure Values
AMADOR VALLEY HIGH SCHOOL52495,Pleasanton,Alameda,app,AMADOR VALLEY HIGH SCHOOL,Asian,117
AMADOR VALLEY HIGH SCHOOL52495,Pleasanton,Alameda,enr,AMADOR VALLEY HIGH SCHOOL,Hispanic/ Latino,
AMADOR VALLEY HIGH SCHOOL52495,Pleasanton,Alameda,adm,AMADOR VALLEY HIGH SCHOOL,Hispanic/ Latino,
AMADOR VALLEY HIGH SCHOOL52495,Pleasanton,Alameda,app,AMADOR VALLEY HIGH SCHOOL,Hispanic/ Latino,11
AMADOR VALLEY HIGH SCHOOL52495,Pleasanton,Alameda,enr,AMADOR VALLEY HIGH SCHOOL,All,3
AMADOR VALLEY HIGH SCHOOL52495,Pleasanton,Alameda,adm,AMADOR VALLEY HIGH SCHOOL,All,24
AMADOR VALLEY HIGH SCHOOL52495,Pleasanton,Alameda,app,AMADOR VALLEY HIGH SCHOOL,All,198
AMERICAN HIGH SCHOOL50974,Fremont,Alameda,enr,AMERICAN HIGH SCHOOL,Domestic Unknown,
AMERICAN HIGH SCHOOL50974,Fremont,Alameda,adm,AMERICAN HIGH SCHOOL,Domestic Unknown,
AMERICAN HIGH SCHOOL50974,Fremont,Alameda,app,AMERICAN HIGH SCHOOL,Domestic Unknown,9
AMERICAN HIGH SCHOOL50974,Fremont,Alameda,enr,AMERICAN HIGH SCHOOL,White,
AMERICAN HIGH SCHOOL50974,Fremont,Alameda,adm,AMERICAN HIGH SCHOOL,White,
AMERICAN HIGH SCHOOL50974,Fremont,Alameda,app,AMERICAN HIGH SCHOOL,White,7
AMERICAN HIGH SCHOOL50974,Fremont,Alameda,enr,AMERICAN HIGH SCHOOL,Asian,4
AMERICAN HIGH SCHOOL50974,Fremont,Alameda,adm,AMERICAN HIGH SCHOOL,Asian,17
AMERICAN HIGH SCHOOL50974,Fremont,Alameda,app,AMERICAN HIGH SCHOOL,Asian,137
AMERICAN HIGH SCHOOL50974,Fremont,Alameda,enr,AMERICAN HIGH SCHOOL,Hispanic/ Latino,
AMERICAN HIGH SCHOOL50974,Fremont,Alameda,adm,AMERICAN HIGH SCHOOL,Hispanic/ Latino,
AMERICAN HIGH SCHOOL50974,Fremont,Alameda,app,AMERICAN HIGH SCHOOL,Hispanic/ Latino,7
AMERICAN HIGH SCHOOL50974,Fremont,Alameda,enr,AMERICAN HIGH SCHOOL,All,4
AMERICAN HIGH SCHOOL50974,Fremont,Alameda,adm,AMERICAN HIGH SCHOOL,All,18
AMERICAN HIGH SCHOOL50974,Fremont,Alameda,app,AMERICAN HIGH SCHOOL,All,164
AMERICAN INDIAN PUBLIC SCHOOL54176,Oakland,Alameda,enr,AMERICAN INDIAN PUBLIC SCHOOL,Asian,
AMERICAN INDIAN PUBLIC SCHOOL54176,Oakland,Alameda,adm,AMERICAN INDIAN PUBLIC SCHOOL,Asian,
AMERICAN INDIAN PUBLIC SCHOOL54176,Oakland,Alameda,app,AMERICAN INDIAN PUBLIC SCHOOL,Asian,13
AMERICAN INDIAN PUBLIC SCHOOL54176,Oakland,Alameda,enr,AMERICAN INDIAN PUBLIC SCHOOL,African American,
AMERICAN INDIAN PUBLIC SCHOOL54176,Oakland,Alameda,adm,AMERICAN INDIAN PUBLIC SCHOOL,African American,
AMERICAN INDIAN PUBLIC SCHOOL54176,Oakland,Alameda,app,AMERICAN INDIAN PUBLIC SCHOOL,African American,8
AMERICAN INDIAN PUBLIC SCHOOL54176,Oakland,Alameda,enr,AMERICAN INDIAN PUBLIC SCHOOL,All,
AMERICAN INDIAN PUBLIC SCHOOL54176,Oakland,Alameda,adm,AMERICAN INDIAN PUBLIC SCHOOL,All,
