Calculation1,City,Measure Names,School,Uad Uc Ethn 6 Cat,Measure Values,Zipcode
AMERICAN HIGH SCHOOL50974,Fremont,enr,AMERICAN HIGH SCHOOL,All,22,94536
AMERICAN HIGH SCHOOL50974,Fremont,adm,AMERICAN HIGH SCHOOL,All,29,94536
AMERICAN HIGH SCHOOL50974,Fremont,app,AMERICAN HIGH SCHOOL,All,161,94536
WASHINGTON HIGH SCHOOL50972,Fremont,enr,WASHINGTON HIGH SCHOOL,White,,94536
WASHINGTON HIGH SCHOOL50972,Fremont,adm,WASHINGTON HIGH SCHOOL,White,,94536
WASHINGTON HIGH SCHOOL50972,Fremont,app,WASHINGTON HIGH SCHOOL,White,11,94536
WASHINGTON HIGH SCHOOL50972,Fremont,enr,WASHINGTON HIGH SCHOOL,Asian,8,94536
WASHINGTON HIGH SCHOOL50972,Fremont,adm,WASHINGTON HIGH SCHOOL,Asian,15,94536
WASHINGTON HIGH SCHOOL50972,Fremont,app,WASHINGTON HIGH SCHOOL,Asian,66,94536
WASHINGTON HIGH SCHOOL50972,Fremont,enr,WASHINGTON HIGH SCHOOL,Hispanic/ Latino,,94536
WASHINGTON HIGH SCHOOL50972,Fremont,adm,WASHINGTON HIGH SCHOOL,Hispanic/ Latino,,94536
WASHINGTON HIGH SCHOOL50972,Fremont,app,WASHINGTON HIGH SCHOOL,Hispanic/ Latino,8,94536
WASHINGTON HIGH SCHOOL50972,Fremont,enr,WASHINGTON HIGH SCHOOL,All,10,94536
WASHINGTON HIGH SCHOOL50972,Fremont,adm,WASHINGTON HIGH SCHOOL,All,18,94536
WASHINGTON HIGH SCHOOL50972,Fremont,app,WASHINGTON HIGH SCHOOL,All,90,94536
IRVINGTON HIGH SCHOOL50968,Fremont,enr,IRVINGTON HIGH SCHOOL,Domestic Unknown,,94538
IRVINGTON HIGH SCHOOL50968,Fremont,adm,IRVINGTON HIGH SCHOOL,Domestic Unknown,3,94538
IRVINGTON HIGH SCHOOL50968,Fremont,app,IRVINGTON HIGH SCHOOL,Domestic Unknown,12,94538
IRVINGTON HIGH SCHOOL50968,Fremont,enr,IRVINGTON HIGH SCHOOL,White,,94538
IRVINGTON HIGH SCHOOL50968,Fremont,adm,IRVINGTON HIGH SCHOOL,White,,94538
IRVINGTON HIGH SCHOOL50968,Fremont,app,IRVINGTON HIGH SCHOOL,White,8,94538
IRVINGTON HIGH SCHOOL50968,Fremont,enr,IRVINGTON HIGH SCHOOL,Asian,18,94538
IRVINGTON HIGH SCHOOL50968,Fremont,adm,IRVINGTON HIGH SCHOOL,Asian,28,94538
IRVINGTON HIGH SCHOOL50968,Fremont,app,IRVINGTON HIGH SCHOOL,Asian,149,94538
IRVINGTON HIGH SCHOOL50968,Fremont,enr,IRVINGTON HIGH SCHOOL,All,19,94538
IRVINGTON HIGH SCHOOL50968,Fremont,adm,IRVINGTON HIGH SCHOOL,All,31,94538
IRVINGTON HIGH SCHOOL50968,Fremont,app,IRVINGTON HIGH SCHOOL,All,177,94538
JOHN F KENNEDY HIGH SCHOOL50966,Fremont,enr,JOHN F KENNEDY HIGH SCHOOL,White,,94538
JOHN F KENNEDY HIGH SCHOOL50966,Fremont,adm,JOHN F KENNEDY HIGH SCHOOL,White,,94538
JOHN F KENNEDY HIGH SCHOOL50966,Fremont,app,JOHN F KENNEDY HIGH SCHOOL,White,6,94538
JOHN F KENNEDY HIGH SCHOOL50966,Fremont,enr,JOHN F KENNEDY HIGH SCHOOL,Asian,,94538
JOHN F KENNEDY HIGH SCHOOL50966,Fremont,adm,JOHN F KENNEDY HIGH SCHOOL,Asian,4,94538
JOHN F KENNEDY HIGH SCHOOL50966,Fremont,app,JOHN F KENNEDY HIGH SCHOOL,Asian,26,94538
JOHN F KENNEDY HIGH SCHOOL50966,Fremont,enr,JOHN F KENNEDY HIGH SCHOOL,All,,94538
JOHN F KENNEDY HIGH SCHOOL50966,Fremont,adm,JOHN F KENNEDY HIGH SCHOOL,All,4,94538
JOHN F KENNEDY HIGH SCHOOL50966,Fremont,app,JOHN F KENNEDY HIGH SCHOOL,All,39,94538
MISSION SAN JOSE HIGH SCHOOL50970,Fremont,enr,MISSION SAN JOSE HIGH SCHOOL,Domestic Unknown,5,94539
MISSION SAN JOSE HIGH SCHOOL50970,Fremont,adm,MISSION SAN JOSE HIGH SCHOOL,Domestic Unknown,7,94539
MISSION SAN JOSE HIGH SCHOOL50970,Fremont,app,MISSION SAN JOSE HIGH SCHOOL,Domestic Unknown,24,94539
MISSION SAN JOSE HIGH SCHOOL50970,Fremont,enr,MISSION SAN JOSE HIGH SCHOOL,White,,94539
MISSION SAN JOSE HIGH SCHOOL50970,Fremont,adm,MISSION SAN JOSE HIGH SCHOOL,White,,94539
MISSION SAN JOSE HIGH SCHOOL50970,Fremont,app,MISSION SAN JOSE HIGH SCHOOL,White,6,94539
MISSION SAN JOSE HIGH SCHOOL50970,Fremont,enr,MISSION SAN JOSE HIGH SCHOOL,Asian,40,94539
MISSION SAN JOSE HIGH SCHOOL50970,Fremont,adm,MISSION SAN JOSE HIGH SCHOOL,Asian,70,94539
MISSION SAN JOSE HIGH SCHOOL50970,Fremont,app,MISSION SAN JOSE HIGH SCHOOL,Asian,260,94539
MISSION SAN JOSE HIGH SCHOOL50970,Fremont,enr,MISSION SAN JOSE HIGH SCHOOL,All,47,94539
MISSION SAN JOSE HIGH SCHOOL50970,Fremont,adm,MISSION SAN JOSE HIGH SCHOOL,All,79,94539
MISSION SAN JOSE HIGH SCHOOL50970,Fremont,app,MISSION SAN JOSE HIGH SCHOOL,All,299,94539
HAYWARD HIGH SCHOOL51150,Hayward,enr,HAYWARD HIGH SCHOOL,Asian,,94541
HAYWARD HIGH SCHOOL51150,Hayward,adm,HAYWARD HIGH SCHOOL,Asian,,94541
HAYWARD HIGH SCHOOL51150,Hayward,app,HAYWARD HIGH SCHOOL,Asian,7,94541
HAYWARD HIGH SCHOOL51150,Hayward,enr,HAYWARD HIGH SCHOOL,Hispanic/ Latino,,94541
HAYWARD HIGH SCHOOL51150,Hayward,adm,HAYWARD HIGH SCHOOL,Hispanic/ Latino,3,94541
HAYWARD HIGH SCHOOL51150,Hayward,app,HAYWARD HIGH SCHOOL,Hispanic/ Latino,18,94541
HAYWARD HIGH SCHOOL51150,Hayward,enr,HAYWARD HIGH SCHOOL,African American,3,94541
HAYWARD HIGH SCHOOL51150,Hayward,adm,HAYWARD HIGH SCHOOL,African American,4,94541
HAYWARD HIGH SCHOOL51150,Hayward,app,HAYWARD HIGH SCHOOL,African American,10,94541
HAYWARD HIGH SCHOOL51150,Hayward,enr,HAYWARD HIGH SCHOOL,All,6,94541
HAYWARD HIGH SCHOOL51150,Hayward,adm,HAYWARD HIGH SCHOOL,All,9,94541
HAYWARD HIGH SCHOOL51150,Hayward,app,HAYWARD HIGH SCHOOL,All,36,94541
SILVER OAK HIGH SCHOOL54774,Hayward,enr,SILVER OAK HIGH SCHOOL,All,,94544
SILVER OAK HIGH SCHOOL54774,Hayward,adm,SILVER OAK HIGH SCHOOL,All,,94544
SILVER OAK HIGH SCHOOL54774,Hayward,app,SILVER OAK HIGH SCHOOL,All,5,94544
TENNYSON HIGH SCHOOL51152,Hayward,enr,TENNYSON HIGH SCHOOL,Asian,,94544
TENNYSON HIGH SCHOOL51152,Hayward,adm,TENNYSON HIGH SCHOOL,Asian,,94544
TENNYSON HIGH SCHOOL51152,Hayward,app,TENNYSON HIGH SCHOOL,Asian,10,94544
TENNYSON HIGH SCHOOL51152,Hayward,enr,TENNYSON HIGH SCHOOL,Hispanic/ Latino,3,94544
