Calculation1,City,Measure Names,School,Uad Uc Ethn 6 Cat,Measure Values,Zipcode
DUBLIN HIGH SCHOOL50784,Dublin,app,DUBLIN HIGH SCHOOL,Hispanic/ Latino,9,94568
DUBLIN HIGH SCHOOL50784,Dublin,enr,DUBLIN HIGH SCHOOL,African American,,94568
DUBLIN HIGH SCHOOL50784,Dublin,adm,DUBLIN HIGH SCHOOL,African American,,94568
DUBLIN HIGH SCHOOL50784,Dublin,app,DUBLIN HIGH SCHOOL,African American,5,94568
DUBLIN HIGH SCHOOL50784,Dublin,enr,DUBLIN HIGH SCHOOL,All,22,94568
DUBLIN HIGH SCHOOL50784,Dublin,adm,DUBLIN HIGH SCHOOL,All,32,94568
DUBLIN HIGH SCHOOL50784,Dublin,app,DUBLIN HIGH SCHOOL,All,134,94568
SAN LEANDRO HIGH SCHOOL53120,San Leandro,enr,SAN LEANDRO HIGH SCHOOL,White,,94577
SAN LEANDRO HIGH SCHOOL53120,San Leandro,adm,SAN LEANDRO HIGH SCHOOL,White,,94577
SAN LEANDRO HIGH SCHOOL53120,San Leandro,app,SAN LEANDRO HIGH SCHOOL,White,5,94577
SAN LEANDRO HIGH SCHOOL53120,San Leandro,enr,SAN LEANDRO HIGH SCHOOL,Asian,,94577
SAN LEANDRO HIGH SCHOOL53120,San Leandro,adm,SAN LEANDRO HIGH SCHOOL,Asian,7,94577
SAN LEANDRO HIGH SCHOOL53120,San Leandro,app,SAN LEANDRO HIGH SCHOOL,Asian,31,94577
SAN LEANDRO HIGH SCHOOL53120,San Leandro,enr,SAN LEANDRO HIGH SCHOOL,Hispanic/ Latino,,94577
SAN LEANDRO HIGH SCHOOL53120,San Leandro,adm,SAN LEANDRO HIGH SCHOOL,Hispanic/ Latino,,94577
SAN LEANDRO HIGH SCHOOL53120,San Leandro,app,SAN LEANDRO HIGH SCHOOL,Hispanic/ Latino,17,94577
SAN LEANDRO HIGH SCHOOL53120,San Leandro,enr,SAN LEANDRO HIGH SCHOOL,African American,,94577
SAN LEANDRO HIGH SCHOOL53120,San Leandro,adm,SAN LEANDRO HIGH SCHOOL,African American,,94577
SAN LEANDRO HIGH SCHOOL53120,San Leandro,app,SAN LEANDRO HIGH SCHOOL,African American,10,94577
SAN LEANDRO HIGH SCHOOL53120,San Leandro,enr,SAN LEANDRO HIGH SCHOOL,All,4,94577
SAN LEANDRO HIGH SCHOOL53120,San Leandro,adm,SAN LEANDRO HIGH SCHOOL,All,10,94577
SAN LEANDRO HIGH SCHOOL53120,San Leandro,app,SAN LEANDRO HIGH SCHOOL,All,64,94577
ARROYO HIGH SCHOOL53125,San Lorenzo,enr,ARROYO HIGH SCHOOL,Asian,3,94580
ARROYO HIGH SCHOOL53125,San Lorenzo,adm,ARROYO HIGH SCHOOL,Asian,4,94580
ARROYO HIGH SCHOOL53125,San Lorenzo,app,ARROYO HIGH SCHOOL,Asian,39,94580
ARROYO HIGH SCHOOL53125,San Lorenzo,enr,ARROYO HIGH SCHOOL,Hispanic/ Latino,,94580
ARROYO HIGH SCHOOL53125,San Lorenzo,adm,ARROYO HIGH SCHOOL,Hispanic/ Latino,,94580
ARROYO HIGH SCHOOL53125,San Lorenzo,app,ARROYO HIGH SCHOOL,Hispanic/ Latino,12,94580
ARROYO HIGH SCHOOL53125,San Lorenzo,enr,ARROYO HIGH SCHOOL,African American,,94580
ARROYO HIGH SCHOOL53125,San Lorenzo,adm,ARROYO HIGH SCHOOL,African American,,94580
ARROYO HIGH SCHOOL53125,San Lorenzo,app,ARROYO HIGH SCHOOL,African American,5,94580
ARROYO HIGH SCHOOL53125,San Lorenzo,enr,ARROYO HIGH SCHOOL,All,4,94580
ARROYO HIGH SCHOOL53125,San Lorenzo,adm,ARROYO HIGH SCHOOL,All,5,94580
ARROYO HIGH SCHOOL53125,San Lorenzo,app,ARROYO HIGH SCHOOL,All,60,94580
KIPP KING COLLEGIATE HIGH SCH54231,San Lorenzo,enr,KIPP KING COLLEGIATE HIGH SCH,Asian,,94580
KIPP KING COLLEGIATE HIGH SCH54231,San Lorenzo,adm,KIPP KING COLLEGIATE HIGH SCH,Asian,,94580
KIPP KING COLLEGIATE HIGH SCH54231,San Lorenzo,app,KIPP KING COLLEGIATE HIGH SCH,Asian,14,94580
KIPP KING COLLEGIATE HIGH SCH54231,San Lorenzo,enr,KIPP KING COLLEGIATE HIGH SCH,Hispanic/ Latino,,94580
KIPP KING COLLEGIATE HIGH SCH54231,San Lorenzo,adm,KIPP KING COLLEGIATE HIGH SCH,Hispanic/ Latino,,94580
KIPP KING COLLEGIATE HIGH SCH54231,San Lorenzo,app,KIPP KING COLLEGIATE HIGH SCH,Hispanic/ Latino,11,94580
KIPP KING COLLEGIATE HIGH SCH54231,San Lorenzo,enr,KIPP KING COLLEGIATE HIGH SCH,African American,,94580
KIPP KING COLLEGIATE HIGH SCH54231,San Lorenzo,adm,KIPP KING COLLEGIATE HIGH SCH,African American,,94580
KIPP KING COLLEGIATE HIGH SCH54231,San Lorenzo,app,KIPP KING COLLEGIATE HIGH SCH,African American,5,94580
KIPP KING COLLEGIATE HIGH SCH54231,San Lorenzo,enr,KIPP KING COLLEGIATE HIGH SCH,All,,94580
KIPP KING COLLEGIATE HIGH SCH54231,San Lorenzo,adm,KIPP KING COLLEGIATE HIGH SCH,All,,94580
KIPP KING COLLEGIATE HIGH SCH54231,San Lorenzo,app,KIPP KING COLLEGIATE HIGH SCH,All,33,94580
SAN LORENZO HIGH SCHOOL53130,San Lorenzo,enr,SAN LORENZO HIGH SCHOOL,Asian,3,94580
SAN LORENZO HIGH SCHOOL53130,San Lorenzo,adm,SAN LORENZO HIGH SCHOOL,Asian,3,94580
SAN LORENZO HIGH SCHOOL53130,San Lorenzo,app,SAN LORENZO HIGH SCHOOL,Asian,13,94580
SAN LORENZO HIGH SCHOOL53130,San Lorenzo,enr,SAN LORENZO HIGH SCHOOL,Hispanic/ Latino,,94580
SAN LORENZO HIGH SCHOOL53130,San Lorenzo,adm,SAN LORENZO HIGH SCHOOL,Hispanic/ Latino,,94580
SAN LORENZO HIGH SCHOOL53130,San Lorenzo,app,SAN LORENZO HIGH SCHOOL,Hispanic/ Latino,15,94580
SAN LORENZO HIGH SCHOOL53130,San Lorenzo,enr,SAN LORENZO HIGH SCHOOL,All,4,94580
SAN LORENZO HIGH SCHOOL53130,San Lorenzo,adm,SAN LORENZO HIGH SCHOOL,All,6,94580
SAN LORENZO HIGH SCHOOL53130,San Lorenzo,app,SAN LORENZO HIGH SCHOOL,All,34,94580
JAMES LOGAN HIGH SCHOOL50969,Union City,enr,JAMES LOGAN HIGH SCHOOL,White,,94587
JAMES LOGAN HIGH SCHOOL50969,Union City,adm,JAMES LOGAN HIGH SCHOOL,White,3,94587
JAMES LOGAN HIGH SCHOOL50969,Union City,app,JAMES LOGAN HIGH SCHOOL,White,11,94587
JAMES LOGAN HIGH SCHOOL50969,Union City,enr,JAMES LOGAN HIGH SCHOOL,Asian,10,94587
JAMES LOGAN HIGH SCHOOL50969,Union City,adm,JAMES LOGAN HIGH SCHOOL,Asian,21,94587
JAMES LOGAN HIGH SCHOOL50969,Union City,app,JAMES LOGAN HIGH SCHOOL,Asian,109,94587
JAMES LOGAN HIGH SCHOOL50969,Union City,enr,JAMES LOGAN HIGH SCHOOL,Hispanic/ Latino,,94587
JAMES LOGAN HIGH SCHOOL50969,Union City,adm,JAMES LOGAN HIGH SCHOOL,Hispanic/ Latino,,94587
JAMES LOGAN HIGH SCHOOL50969,Union City,app,JAMES LOGAN HIGH SCHOOL,Hispanic/ Latino,19,94587
JAMES LOGAN HIGH SCHOOL50969,Union City,enr,JAMES LOGAN HIGH SCHOOL,African American,,94587
JAMES LOGAN HIGH SCHOOL50969,Union City,adm,JAMES LOGAN HIGH SCHOOL,African American,,94587
JAMES LOGAN HIGH SCHOOL50969,Union City,app,JAMES LOGAN HIGH SCHOOL,African American,7,94587
JAMES LOGAN HIGH SCHOOL50969,Union City,enr,JAMES LOGAN HIGH SCHOOL,All,13,94587
JAMES LOGAN HIGH SCHOOL50969,Union City,adm,JAMES LOGAN HIGH SCHOOL,All,27,94587
JAMES LOGAN HIGH SCHOOL50969,Union City,app,JAMES LOGAN HIGH SCHOOL,All,152,94587
FOOTHILL HIGH SCHOOL52497,Pleasanton,enr,FOOTHILL HIGH SCHOOL,Domestic Unknown,,94588
FOOTHILL HIGH SCHOOL52497,Pleasanton,adm,FOOTHILL HIGH SCHOOL,Domestic Unknown,,94588
FOOTHILL HIGH SCHOOL52497,Pleasanton,app,FOOTHILL HIGH SCHOOL,Domestic Unknown,5,94588
FOOTHILL HIGH SCHOOL52497,Pleasanton,enr,FOOTHILL HIGH SCHOOL,White,,94588
FOOTHILL HIGH SCHOOL52497,Pleasanton,adm,FOOTHILL HIGH SCHOOL,White,3,94588
FOOTHILL HIGH SCHOOL52497,Pleasanton,app,FOOTHILL HIGH SCHOOL,White,27,94588
FOOTHILL HIGH SCHOOL52497,Pleasanton,enr,FOOTHILL HIGH SCHOOL,Asian,10,94588
FOOTHILL HIGH SCHOOL52497,Pleasanton,adm,FOOTHILL HIGH SCHOOL,Asian,24,94588
FOOTHILL HIGH SCHOOL52497,Pleasanton,app,FOOTHILL HIGH SCHOOL,Asian,92,94588
FOOTHILL HIGH SCHOOL52497,Pleasanton,enr,FOOTHILL HIGH SCHOOL,All,12,94588
FOOTHILL HIGH SCHOOL52497,Pleasanton,adm,FOOTHILL HIGH SCHOOL,All,28,94588
FOOTHILL HIGH SCHOOL52497,Pleasanton,app,FOOTHILL HIGH SCHOOL,All,135,94588
ARISE HIGH SCHOOL54258,Oakland,enr,ARISE HIGH SCHOOL,Hispanic/ Latino,,94601
ARISE HIGH SCHOOL54258,Oakland,adm,ARISE HIGH SCHOOL,Hispanic/ Latino,,94601
ARISE HIGH SCHOOL54258,Oakland,app,ARISE HIGH SCHOOL,Hispanic/ Latino,14,94601
ARISE HIGH SCHOOL54258,Oakland,enr,ARISE HIGH SCHOOL,All,,94601
ARISE HIGH SCHOOL54258,Oakland,adm,ARISE HIGH SCHOOL,All,,94601
ARISE HIGH SCHOOL54258,Oakland,app,ARISE HIGH SCHOOL,All,18,94601
FREMONT HIGH SCHOOL52205,Oakland,enr,FREMONT HIGH SCHOOL,Hispanic/ Latino,,94601
FREMONT HIGH SCHOOL52205,Oakland,adm,FREMONT HIGH SCHOOL,Hispanic/ Latino,,94601
FREMONT HIGH SCHOOL52205,Oakland,app,FREMONT HIGH SCHOOL,Hispanic/ Latino,12,94601
FREMONT HIGH SCHOOL52205,Oakland,enr,FREMONT HIGH SCHOOL,All,,94601
FREMONT HIGH SCHOOL52205,Oakland,adm,FREMONT HIGH SCHOOL,All,,94601
FREMONT HIGH SCHOOL52205,Oakland,app,FREMONT HIGH SCHOOL,All,15,94601
LIFE ACADEMY HIGH SCHOOL52212,Oakland,enr,LIFE ACADEMY HIGH SCHOOL,Hispanic/ Latino,3,94601
LIFE ACADEMY HIGH SCHOOL52212,Oakland,adm,LIFE ACADEMY HIGH SCHOOL,Hispanic/ Latino,5,94601
LIFE ACADEMY HIGH SCHOOL52212,Oakland,app,LIFE ACADEMY HIGH SCHOOL,Hispanic/ Latino,21,94601
LIFE ACADEMY HIGH SCHOOL52212,Oakland,enr,LIFE ACADEMY HIGH SCHOOL,All,5,94601
LIFE ACADEMY HIGH SCHOOL52212,Oakland,adm,LIFE ACADEMY HIGH SCHOOL,All,7,94601
LIFE ACADEMY HIGH SCHOOL52212,Oakland,app,LIFE ACADEMY HIGH SCHOOL,All,25,94601
OAKLAND CHARTER HIGH SCHOOL54303,Oakland,enr,OAKLAND CHARTER HIGH SCHOOL,Asian,3,94601
OAKLAND CHARTER HIGH SCHOOL54303,Oakland,adm,OAKLAND CHARTER HIGH SCHOOL,Asian,5,94601
OAKLAND CHARTER HIGH SCHOOL54303,Oakland,app,OAKLAND CHARTER HIGH SCHOOL,Asian,24,94601
OAKLAND CHARTER HIGH SCHOOL54303,Oakland,enr,OAKLAND CHARTER HIGH SCHOOL,Hispanic/ Latino,,94601
OAKLAND CHARTER HIGH SCHOOL54303,Oakland,adm,OAKLAND CHARTER HIGH SCHOOL,Hispanic/ Latino,,94601
OAKLAND CHARTER HIGH SCHOOL54303,Oakland,app,OAKLAND CHARTER HIGH SCHOOL,Hispanic/ Latino,14,94601
OAKLAND CHARTER HIGH SCHOOL54303,Oakland,enr,OAKLAND CHARTER HIGH SCHOOL,All,4,94601
OAKLAND CHARTER HIGH SCHOOL54303,Oakland,adm,OAKLAND CHARTER HIGH SCHOOL,All,6,94601
OAKLAND CHARTER HIGH SCHOOL54303,Oakland,app,OAKLAND CHARTER HIGH SCHOOL,All,41,94601
ASPIRE LIONEL WILSON COLG PREP51761,Oakland,enr,ASPIRE LIONEL WILSON COLG PREP,Hispanic/ Latino,4,94603
ASPIRE LIONEL WILSON COLG PREP51761,Oakland,adm,ASPIRE LIONEL WILSON COLG PREP,Hispanic/ Latino,4,94603
ASPIRE LIONEL WILSON COLG PREP51761,Oakland,app,ASPIRE LIONEL WILSON COLG PREP,Hispanic/ Latino,19,94603
ASPIRE LIONEL WILSON COLG PREP51761,Oakland,enr,ASPIRE LIONEL WILSON COLG PREP,All,4,94603
ASPIRE LIONEL WILSON COLG PREP51761,Oakland,adm,ASPIRE LIONEL WILSON COLG PREP,All,4,94603
ASPIRE LIONEL WILSON COLG PREP51761,Oakland,app,ASPIRE LIONEL WILSON COLG PREP,All,20,94603
MADISON PARK ACADEMY HIGH SCHL54768,Oakland,enr,MADISON PARK ACADEMY HIGH SCHL,Hispanic/ Latino,,94603
MADISON PARK ACADEMY HIGH SCHL54768,Oakland,adm,MADISON PARK ACADEMY HIGH SCHL,Hispanic/ Latino,,94603
MADISON PARK ACADEMY HIGH SCHL54768,Oakland,app,MADISON PARK ACADEMY HIGH SCHL,Hispanic/ Latino,12,94603
MADISON PARK ACADEMY HIGH SCHL54768,Oakland,enr,MADISON PARK ACADEMY HIGH SCHL,African American,,94603
MADISON PARK ACADEMY HIGH SCHL54768,Oakland,adm,MADISON PARK ACADEMY HIGH SCHL,African American,,94603
MADISON PARK ACADEMY HIGH SCHL54768,Oakland,app,MADISON PARK ACADEMY HIGH SCHL,African American,5,94603
MADISON PARK ACADEMY HIGH SCHL54768,Oakland,enr,MADISON PARK ACADEMY HIGH SCHL,All,,94603
MADISON PARK ACADEMY HIGH SCHL54768,Oakland,adm,MADISON PARK ACADEMY HIGH SCHL,All,,94603
MADISON PARK ACADEMY HIGH SCHL54768,Oakland,app,MADISON PARK ACADEMY HIGH SCHL,All,18,94603
CASTLEMONT HIGH SCHOOL54611,Oakland,enr,CASTLEMONT HIGH SCHOOL,African American,,94605
CASTLEMONT HIGH SCHOOL54611,Oakland,adm,CASTLEMONT HIGH SCHOOL,African American,,94605
CASTLEMONT HIGH SCHOOL54611,Oakland,app,CASTLEMONT HIGH SCHOOL,African American,5,94605
CASTLEMONT HIGH SCHOOL54611,Oakland,enr,CASTLEMONT HIGH SCHOOL,All,,94605
CASTLEMONT HIGH SCHOOL54611,Oakland,adm,CASTLEMONT HIGH SCHOOL,All,,94605
CASTLEMONT HIGH SCHOOL54611,Oakland,app,CASTLEMONT HIGH SCHOOL,All,11,94605
LPS OAKLAND R&D CAMPUS54704,Oakland,enr,LPS OAKLAND R&D CAMPUS,Hispanic/ Latino,,94605
LPS OAKLAND R&D CAMPUS54704,Oakland,adm,LPS OAKLAND R&D CAMPUS,Hispanic/ Latino,,94605
LPS OAKLAND R&D CAMPUS54704,Oakland,app,LPS OAKLAND R&D CAMPUS,Hispanic/ Latino,12,94605
LPS OAKLAND R&D CAMPUS54704,Oakland,enr,LPS OAKLAND R&D CAMPUS,All,,94605
LPS OAKLAND R&D CAMPUS54704,Oakland,adm,LPS OAKLAND R&D CAMPUS,All,3,94605
LPS OAKLAND R&D CAMPUS54704,Oakland,app,LPS OAKLAND R&D CAMPUS,All,17,94605
OAKLAND UNITY HIGH SCHOOL52484,Oakland,enr,OAKLAND UNITY HIGH SCHOOL,All,4,94605
OAKLAND UNITY HIGH SCHOOL52484,Oakland,adm,OAKLAND UNITY HIGH SCHOOL,All,5,94605
OAKLAND UNITY HIGH SCHOOL52484,Oakland,app,OAKLAND UNITY HIGH SCHOOL,All,12,94605
SOJOURNER TRUTH ACADEMY52224,Oakland,enr,SOJOURNER TRUTH ACADEMY,All,,94605
SOJOURNER TRUTH ACADEMY52224,Oakland,adm,SOJOURNER TRUTH ACADEMY,All,,94605
SOJOURNER TRUTH ACADEMY52224,Oakland,app,SOJOURNER TRUTH ACADEMY,All,5,94605
METWEST HIGH SCHOOL53009,Oakland,enr,METWEST HIGH SCHOOL,All,,94606
METWEST HIGH SCHOOL53009,Oakland,adm,METWEST HIGH SCHOOL,All,,94606
METWEST HIGH SCHOOL53009,Oakland,app,METWEST HIGH SCHOOL,All,6,94606
AMERICAN INDIAN PUBLIC SCHOOL54176,Oakland,enr,AMERICAN INDIAN PUBLIC SCHOOL,Asian,3,94607
AMERICAN INDIAN PUBLIC SCHOOL54176,Oakland,adm,AMERICAN INDIAN PUBLIC SCHOOL,Asian,4,94607
AMERICAN INDIAN PUBLIC SCHOOL54176,Oakland,app,AMERICAN INDIAN PUBLIC SCHOOL,Asian,12,94607
AMERICAN INDIAN PUBLIC SCHOOL54176,Oakland,enr,AMERICAN INDIAN PUBLIC SCHOOL,African American,,94607
AMERICAN INDIAN PUBLIC SCHOOL54176,Oakland,adm,AMERICAN INDIAN PUBLIC SCHOOL,African American,,94607
AMERICAN INDIAN PUBLIC SCHOOL54176,Oakland,app,AMERICAN INDIAN PUBLIC SCHOOL,African American,6,94607
AMERICAN INDIAN PUBLIC SCHOOL54176,Oakland,enr,AMERICAN INDIAN PUBLIC SCHOOL,All,6,94607
AMERICAN INDIAN PUBLIC SCHOOL54176,Oakland,adm,AMERICAN INDIAN PUBLIC SCHOOL,All,7,94607
AMERICAN INDIAN PUBLIC SCHOOL54176,Oakland,app,AMERICAN INDIAN PUBLIC SCHOOL,All,21,94607
MCCLYMONDS HIGH SCHOOL52220,Oakland,enr,MCCLYMONDS HIGH SCHOOL,African American,3,94607
MCCLYMONDS HIGH SCHOOL52220,Oakland,adm,MCCLYMONDS HIGH SCHOOL,African American,3,94607
MCCLYMONDS HIGH SCHOOL52220,Oakland,app,MCCLYMONDS HIGH SCHOOL,African American,8,94607
MCCLYMONDS HIGH SCHOOL52220,Oakland,enr,MCCLYMONDS HIGH SCHOOL,All,3,94607
MCCLYMONDS HIGH SCHOOL52220,Oakland,adm,MCCLYMONDS HIGH SCHOOL,All,3,94607
MCCLYMONDS HIGH SCHOOL52220,Oakland,app,MCCLYMONDS HIGH SCHOOL,All,12,94607
EMERY SECONDARY SCHOOL50860,Emeryville,enr,EMERY SECONDARY SCHOOL,African American,,94608
EMERY SECONDARY SCHOOL50860,Emeryville,adm,EMERY SECONDARY SCHOOL,African American,,94608
EMERY SECONDARY SCHOOL50860,Emeryville,app,EMERY SECONDARY SCHOOL,African American,6,94608
EMERY SECONDARY SCHOOL50860,Emeryville,enr,EMERY SECONDARY SCHOOL,All,,94608
EMERY SECONDARY SCHOOL50860,Emeryville,adm,EMERY SECONDARY SCHOOL,All,,94608
EMERY SECONDARY SCHOOL50860,Emeryville,app,EMERY SECONDARY SCHOOL,All,9,94608
OAKLAND MILITARY INST COL PREP53972,Oakland,enr,OAKLAND MILITARY INST COL PREP,Asian,,94608
OAKLAND MILITARY INST COL PREP53972,Oakland,adm,OAKLAND MILITARY INST COL PREP,Asian,,94608
OAKLAND MILITARY INST COL PREP53972,Oakland,app,OAKLAND MILITARY INST COL PREP,Asian,7,94608
OAKLAND MILITARY INST COL PREP53972,Oakland,enr,OAKLAND MILITARY INST COL PREP,All,,94608
OAKLAND MILITARY INST COL PREP53972,Oakland,adm,OAKLAND MILITARY INST COL PREP,All,,94608
OAKLAND MILITARY INST COL PREP53972,Oakland,app,OAKLAND MILITARY INST COL PREP,All,14,94608
OAKLAND INTERNATIONAL HIGH SCH54232,Oakland,enr,OAKLAND INTERNATIONAL HIGH SCH,Hispanic/ Latino,,94609
OAKLAND INTERNATIONAL HIGH SCH54232,Oakland,adm,OAKLAND INTERNATIONAL HIGH SCH,Hispanic/ Latino,,94609
OAKLAND INTERNATIONAL HIGH SCH54232,Oakland,app,OAKLAND INTERNATIONAL HIGH SCH,Hispanic/ Latino,9,94609
OAKLAND INTERNATIONAL HIGH SCH54232,Oakland,enr,OAKLAND INTERNATIONAL HIGH SCH,All,,94609
OAKLAND INTERNATIONAL HIGH SCH54232,Oakland,adm,OAKLAND INTERNATIONAL HIGH SCH,All,,94609
OAKLAND INTERNATIONAL HIGH SCH54232,Oakland,app,OAKLAND INTERNATIONAL HIGH SCH,All,14,94609
OAKLAND HIGH SCHOOL52225,Oakland,enr,OAKLAND HIGH SCHOOL,Asian,4,94610
OAKLAND HIGH SCHOOL52225,Oakland,adm,OAKLAND HIGH SCHOOL,Asian,4,94610
OAKLAND HIGH SCHOOL52225,Oakland,app,OAKLAND HIGH SCHOOL,Asian,27,94610
OAKLAND HIGH SCHOOL52225,Oakland,enr,OAKLAND HIGH SCHOOL,African American,,94610
OAKLAND HIGH SCHOOL52225,Oakland,adm,OAKLAND HIGH SCHOOL,African American,,94610
OAKLAND HIGH SCHOOL52225,Oakland,app,OAKLAND HIGH SCHOOL,African American,10,94610
OAKLAND HIGH SCHOOL52225,Oakland,enr,OAKLAND HIGH SCHOOL,All,4,94610
OAKLAND HIGH SCHOOL52225,Oakland,adm,OAKLAND HIGH SCHOOL,All,6,94610
OAKLAND HIGH SCHOOL52225,Oakland,app,OAKLAND HIGH SCHOOL,All,40,94610
OAKLAND TECHNICAL HIGH SCHOOL52240,Oakland,enr,OAKLAND TECHNICAL HIGH SCHOOL,White,,94611
OAKLAND TECHNICAL HIGH SCHOOL52240,Oakland,adm,OAKLAND TECHNICAL HIGH SCHOOL,White,9,94611
OAKLAND TECHNICAL HIGH SCHOOL52240,Oakland,app,OAKLAND TECHNICAL HIGH SCHOOL,White,30,94611
OAKLAND TECHNICAL HIGH SCHOOL52240,Oakland,enr,OAKLAND TECHNICAL HIGH SCHOOL,Asian,9,94611
OAKLAND TECHNICAL HIGH SCHOOL52240,Oakland,adm,OAKLAND TECHNICAL HIGH SCHOOL,Asian,9,94611
OAKLAND TECHNICAL HIGH SCHOOL52240,Oakland,app,OAKLAND TECHNICAL HIGH SCHOOL,Asian,48,94611
OAKLAND TECHNICAL HIGH SCHOOL52240,Oakland,enr,OAKLAND TECHNICAL HIGH SCHOOL,Hispanic/ Latino,,94611
OAKLAND TECHNICAL HIGH SCHOOL52240,Oakland,adm,OAKLAND TECHNICAL HIGH SCHOOL,Hispanic/ Latino,3,94611
OAKLAND TECHNICAL HIGH SCHOOL52240,Oakland,app,OAKLAND TECHNICAL HIGH SCHOOL,Hispanic/ Latino,14,94611
OAKLAND TECHNICAL HIGH SCHOOL52240,Oakland,enr,OAKLAND TECHNICAL HIGH SCHOOL,African American,,94611
OAKLAND TECHNICAL HIGH SCHOOL52240,Oakland,adm,OAKLAND TECHNICAL HIGH SCHOOL,African American,3,94611
OAKLAND TECHNICAL HIGH SCHOOL52240,Oakland,app,OAKLAND TECHNICAL HIGH SCHOOL,African American,28,94611
OAKLAND TECHNICAL HIGH SCHOOL52240,Oakland,enr,OAKLAND TECHNICAL HIGH SCHOOL,All,13,94611
OAKLAND TECHNICAL HIGH SCHOOL52240,Oakland,adm,OAKLAND TECHNICAL HIGH SCHOOL,All,25,94611
OAKLAND TECHNICAL HIGH SCHOOL52240,Oakland,app,OAKLAND TECHNICAL HIGH SCHOOL,All,121,94611
PIEDMONT HIGH SCHOOL52462,Piedmont,enr,PIEDMONT HIGH SCHOOL,White,,94611
PIEDMONT HIGH SCHOOL52462,Piedmont,adm,PIEDMONT HIGH SCHOOL,White,5,94611
PIEDMONT HIGH SCHOOL52462,Piedmont,app,PIEDMONT HIGH SCHOOL,White,37,94611
PIEDMONT HIGH SCHOOL52462,Piedmont,enr,PIEDMONT HIGH SCHOOL,Asian,3,94611
PIEDMONT HIGH SCHOOL52462,Piedmont,adm,PIEDMONT HIGH SCHOOL,Asian,6,94611
PIEDMONT HIGH SCHOOL52462,Piedmont,app,PIEDMONT HIGH SCHOOL,Asian,25,94611
PIEDMONT HIGH SCHOOL52462,Piedmont,enr,PIEDMONT HIGH SCHOOL,All,6,94611
PIEDMONT HIGH SCHOOL52462,Piedmont,adm,PIEDMONT HIGH SCHOOL,All,14,94611
PIEDMONT HIGH SCHOOL52462,Piedmont,app,PIEDMONT HIGH SCHOOL,All,72,94611
OAKLAND SCHOOL FOR THE ARTS52410,Oakland,enr,OAKLAND SCHOOL FOR THE ARTS,Hispanic/ Latino,,94612
OAKLAND SCHOOL FOR THE ARTS52410,Oakland,adm,OAKLAND SCHOOL FOR THE ARTS,Hispanic/ Latino,,94612
OAKLAND SCHOOL FOR THE ARTS52410,Oakland,app,OAKLAND SCHOOL FOR THE ARTS,Hispanic/ Latino,5,94612
OAKLAND SCHOOL FOR THE ARTS52410,Oakland,enr,OAKLAND SCHOOL FOR THE ARTS,All,,94612
OAKLAND SCHOOL FOR THE ARTS52410,Oakland,adm,OAKLAND SCHOOL FOR THE ARTS,All,,94612
OAKLAND SCHOOL FOR THE ARTS52410,Oakland,app,OAKLAND SCHOOL FOR THE ARTS,All,11,94612
SKYLINE HIGH SCHOOL52238,Oakland,enr,SKYLINE HIGH SCHOOL,White,,94619
SKYLINE HIGH SCHOOL52238,Oakland,adm,SKYLINE HIGH SCHOOL,White,,94619
SKYLINE HIGH SCHOOL52238,Oakland,app,SKYLINE HIGH SCHOOL,White,5,94619
SKYLINE HIGH SCHOOL52238,Oakland,enr,SKYLINE HIGH SCHOOL,Asian,3,94619
SKYLINE HIGH SCHOOL52238,Oakland,adm,SKYLINE HIGH SCHOOL,Asian,8,94619
SKYLINE HIGH SCHOOL52238,Oakland,app,SKYLINE HIGH SCHOOL,Asian,25,94619
SKYLINE HIGH SCHOOL52238,Oakland,enr,SKYLINE HIGH SCHOOL,Hispanic/ Latino,,94619
SKYLINE HIGH SCHOOL52238,Oakland,adm,SKYLINE HIGH SCHOOL,Hispanic/ Latino,,94619
SKYLINE HIGH SCHOOL52238,Oakland,app,SKYLINE HIGH SCHOOL,Hispanic/ Latino,9,94619
SKYLINE HIGH SCHOOL52238,Oakland,enr,SKYLINE HIGH SCHOOL,African American,,94619
SKYLINE HIGH SCHOOL52238,Oakland,adm,SKYLINE HIGH SCHOOL,African American,3,94619
SKYLINE HIGH SCHOOL52238,Oakland,app,SKYLINE HIGH SCHOOL,African American,12,94619
SKYLINE HIGH SCHOOL52238,Oakland,enr,SKYLINE HIGH SCHOOL,All,8,94619
SKYLINE HIGH SCHOOL52238,Oakland,adm,SKYLINE HIGH SCHOOL,All,15,94619
SKYLINE HIGH SCHOOL52238,Oakland,app,SKYLINE HIGH SCHOOL,All,54,94619
ALTERNATIVES IN ACTION HS50013,Oakland,enr,ALTERNATIVES IN ACTION HS,All,,94621
ALTERNATIVES IN ACTION HS50013,Oakland,adm,ALTERNATIVES IN ACTION HS,All,,94621
ALTERNATIVES IN ACTION HS50013,Oakland,app,ALTERNATIVES IN ACTION HS,All,5,94621
ASPIRE GOLDEN STATE PREP ACADEMY54260,Oakland,enr,ASPIRE GOLDEN STATE PREP ACADEMY,Hispanic/ Latino,3,94621
ASPIRE GOLDEN STATE PREP ACADEMY54260,Oakland,adm,ASPIRE GOLDEN STATE PREP ACADEMY,Hispanic/ Latino,4,94621
