Calculation1,City,County/State/ Territory,Measure Names,School,Uad Uc Ethn 6 Cat,Measure Values
AMERICAN HIGH SCHOOL50974,Fremont,Alameda,adm,AMERICAN HIGH SCHOOL,Hispanic/ Latino,
AMERICAN HIGH SCHOOL50974,Fremont,Alameda,app,AMERICAN HIGH SCHOOL,Hispanic/ Latino,5
AMERICAN HIGH SCHOOL50974,Fremont,Alameda,enr,AMERICAN HIGH SCHOOL,All,22
AMERICAN HIGH SCHOOL50974,Fremont,Alameda,adm,AMERICAN HIGH SCHOOL,All,29
AMERICAN HIGH SCHOOL50974,Fremont,Alameda,app,AMERICAN HIGH SCHOOL,All,161
WASHINGTON HIGH SCHOOL50972,Fremont,Alameda,enr,WASHINGTON HIGH SCHOOL,White,
WASHINGTON HIGH SCHOOL50972,Fremont,Alameda,adm,WASHINGTON HIGH SCHOOL,White,
WASHINGTON HIGH SCHOOL50972,Fremont,Alameda,app,WASHINGTON HIGH SCHOOL,White,11
WASHINGTON HIGH SCHOOL50972,Fremont,Alameda,enr,WASHINGTON HIGH SCHOOL,Asian,8
WASHINGTON HIGH SCHOOL50972,Fremont,Alameda,adm,WASHINGTON HIGH SCHOOL,Asian,15
WASHINGTON HIGH SCHOOL50972,Fremont,Alameda,app,WASHINGTON HIGH SCHOOL,Asian,66
WASHINGTON HIGH SCHOOL50972,Fremont,Alameda,enr,WASHINGTON HIGH SCHOOL,Hispanic/ Latino,
WASHINGTON HIGH SCHOOL50972,Fremont,Alameda,adm,WASHINGTON HIGH SCHOOL,Hispanic/ Latino,
WASHINGTON HIGH SCHOOL50972,Fremont,Alameda,app,WASHINGTON HIGH SCHOOL,Hispanic/ Latino,8
WASHINGTON HIGH SCHOOL50972,Fremont,Alameda,enr,WASHINGTON HIGH SCHOOL,All,10
WASHINGTON HIGH SCHOOL50972,Fremont,Alameda,adm,WASHINGTON HIGH SCHOOL,All,18
WASHINGTON HIGH SCHOOL50972,Fremont,Alameda,app,WASHINGTON HIGH SCHOOL,All,90
IRVINGTON HIGH SCHOOL50968,Fremont,Alameda,enr,IRVINGTON HIGH SCHOOL,Domestic Unknown,
IRVINGTON HIGH SCHOOL50968,Fremont,Alameda,adm,IRVINGTON HIGH SCHOOL,Domestic Unknown,3
IRVINGTON HIGH SCHOOL50968,Fremont,Alameda,app,IRVINGTON HIGH SCHOOL,Domestic Unknown,12
IRVINGTON HIGH SCHOOL50968,Fremont,Alameda,enr,IRVINGTON HIGH SCHOOL,White,
IRVINGTON HIGH SCHOOL50968,Fremont,Alameda,adm,IRVINGTON HIGH SCHOOL,White,
IRVINGTON HIGH SCHOOL50968,Fremont,Alameda,app,IRVINGTON HIGH SCHOOL,White,8
IRVINGTON HIGH SCHOOL50968,Fremont,Alameda,enr,IRVINGTON HIGH SCHOOL,Asian,18
IRVINGTON HIGH SCHOOL50968,Fremont,Alameda,adm,IRVINGTON HIGH SCHOOL,Asian,28
IRVINGTON HIGH SCHOOL50968,Fremont,Alameda,app,IRVINGTON HIGH SCHOOL,Asian,149
IRVINGTON HIGH SCHOOL50968,Fremont,Alameda,enr,IRVINGTON HIGH SCHOOL,All,19
IRVINGTON HIGH SCHOOL50968,Fremont,Alameda,adm,IRVINGTON HIGH SCHOOL,All,31
IRVINGTON HIGH SCHOOL50968,Fremont,Alameda,app,IRVINGTON HIGH SCHOOL,All,177
JOHN F KENNEDY HIGH SCHOOL50966,Fremont,Alameda,enr,JOHN F KENNEDY HIGH SCHOOL,White,
JOHN F KENNEDY HIGH SCHOOL50966,Fremont,Alameda,adm,JOHN F KENNEDY HIGH SCHOOL,White,
JOHN F KENNEDY HIGH SCHOOL50966,Fremont,Alameda,app,JOHN F KENNEDY HIGH SCHOOL,White,6
JOHN F KENNEDY HIGH SCHOOL50966,Fremont,Alameda,enr,JOHN F KENNEDY HIGH SCHOOL,Asian,
JOHN F KENNEDY HIGH SCHOOL50966,Fremont,Alameda,adm,JOHN F KENNEDY HIGH SCHOOL,Asian,4
JOHN F KENNEDY HIGH SCHOOL50966,Fremont,Alameda,app,JOHN F KENNEDY HIGH SCHOOL,Asian,26
JOHN F KENNEDY HIGH SCHOOL50966,Fremont,Alameda,enr,JOHN F KENNEDY HIGH SCHOOL,All,
JOHN F KENNEDY HIGH SCHOOL50966,Fremont,Alameda,adm,JOHN F KENNEDY HIGH SCHOOL,All,4
JOHN F KENNEDY HIGH SCHOOL50966,Fremont,Alameda,app,JOHN F KENNEDY HIGH SCHOOL,All,39
MISSION SAN JOSE HIGH SCHOOL50970,Fremont,Alameda,enr,MISSION SAN JOSE HIGH SCHOOL,Domestic Unknown,5
MISSION SAN JOSE HIGH SCHOOL50970,Fremont,Alameda,adm,MISSION SAN JOSE HIGH SCHOOL,Domestic Unknown,7
MISSION SAN JOSE HIGH SCHOOL50970,Fremont,Alameda,app,MISSION SAN JOSE HIGH SCHOOL,Domestic Unknown,24
MISSION SAN JOSE HIGH SCHOOL50970,Fremont,Alameda,enr,MISSION SAN JOSE HIGH SCHOOL,White,
MISSION SAN JOSE HIGH SCHOOL50970,Fremont,Alameda,adm,MISSION SAN JOSE HIGH SCHOOL,White,
MISSION SAN JOSE HIGH SCHOOL50970,Fremont,Alameda,app,MISSION SAN JOSE HIGH SCHOOL,White,6
