Calculation1,City,County/State/ Territory,Measure Names,School,Uad Uc Ethn 6 Cat,Measure Values
ABRAHAM LINCOLN HIGH SCHOOL53075,San Jose,Santa Clara,adm,ABRAHAM LINCOLN HIGH SCHOOL,All,10
ABRAHAM LINCOLN HIGH SCHOOL53075,San Jose,Santa Clara,app,ABRAHAM LINCOLN HIGH SCHOOL,All,53
ACAD FOR ACADEMIC EXCELLENCE50126,Apple Valley,San Bernardino,enr,ACAD FOR ACADEMIC EXCELLENCE,All,
ACAD FOR ACADEMIC EXCELLENCE50126,Apple Valley,San Bernardino,adm,ACAD FOR ACADEMIC EXCELLENCE,All,
ACAD FOR ACADEMIC EXCELLENCE50126,Apple Valley,San Bernardino,app,ACAD FOR ACADEMIC EXCELLENCE,All,14
ACADEMIA AVANCE CHARTER SCHOOL54247,Los Angeles,Los Angeles,enr,ACADEMIA AVANCE CHARTER SCHOOL,All,5
ACADEMIA AVANCE CHARTER SCHOOL54247,Los Angeles,Los Angeles,adm,ACADEMIA AVANCE CHARTER SCHOOL,All,5
ACADEMIA AVANCE CHARTER SCHOOL54247,Los Angeles,Los Angeles,app,ACADEMIA AVANCE CHARTER SCHOOL,All,24
ACADEMIC LEADERSHIP COMMUNITY54254,Los Angeles,Los Angeles,enr,ACADEMIC LEADERSHIP COMMUNITY,Hispanic/ Latino,3
ACADEMIC LEADERSHIP COMMUNITY54254,Los Angeles,Los Angeles,adm,ACADEMIC LEADERSHIP COMMUNITY,Hispanic/ Latino,4
ACADEMIC LEADERSHIP COMMUNITY54254,Los Angeles,Los Angeles,app,ACADEMIC LEADERSHIP COMMUNITY,Hispanic/ Latino,16
ACADEMIC LEADERSHIP COMMUNITY54254,Los Angeles,Los Angeles,enr,ACADEMIC LEADERSHIP COMMUNITY,All,3
ACADEMIC LEADERSHIP COMMUNITY54254,Los Angeles,Los Angeles,adm,ACADEMIC LEADERSHIP COMMUNITY,All,4
ACADEMIC LEADERSHIP COMMUNITY54254,Los Angeles,Los Angeles,app,ACADEMIC LEADERSHIP COMMUNITY,All,18
ACADEMIES EDUCATION/EMPOWERMNT54617,Carson,Los Angeles,enr,ACADEMIES EDUCATION/EMPOWERMNT,Asian,
ACADEMIES EDUCATION/EMPOWERMNT54617,Carson,Los Angeles,adm,ACADEMIES EDUCATION/EMPOWERMNT,Asian,
ACADEMIES EDUCATION/EMPOWERMNT54617,Carson,Los Angeles,app,ACADEMIES EDUCATION/EMPOWERMNT,Asian,8
